plz_name;Spalte1;lan_name;geo_point_2d
Mayschoß;53508;Rheinland-Pfalz;50.5197207163,7.01802010706
Krummhörn;26736;Niedersachsen;53.4471419325,7.09463973558
Köln;51109;Nordrhein-Westfalen;50.944667855,7.07001867981
Vellmar;34246;Hessen;51.3626925989,9.46611529056
Unterwaldhausen;88379;Baden-Württemberg;47.9038737688,9.46880109824
Flensburg;24944;Schleswig-Holstein;54.8113143759,9.47802858575
Husby;24975;Schleswig-Holstein;54.7590114845,9.56054611836
Mainhardt;74535;Baden-Württemberg;49.0870577569,9.57016569861
Elmshorn;25335;Schleswig-Holstein;53.7540456543,9.61204876445
Reher;25593;Schleswig-Holstein;54.063301067,9.56583536678
Staufenberg;34355;Niedersachsen;51.34282697,9.65519327194
Gemünden a. Main;97737;Bayern;50.056501968,9.69296101439
Boxberg;97944;Baden-Württemberg;49.4902037498,9.63513389079
Oberrot;74420;Baden-Württemberg;49.0216029569,9.65425443007
Witzenhausen, Gutsbezirk;37216;Hessen;51.2902987533,9.75598546097
Eckersdorf;95488;Bayern;49.9522849343,11.4579517659
Grabow u.a.;19300;Mecklenburg-Vorpommern;53.2476050152,11.5997978655
München;81241;Bayern;48.1410027278,11.4640706282
Wolmirstedt u.a.;39326;Sachsen-Anhalt;52.2842467292,11.6226951101
Schwarzenbach a. Wald;95131;Bayern;50.2883131964,11.6119103232
Crivitz, Friedrichsruhe u.a.;19089;Mecklenburg-Vorpommern;53.5751654696,11.6917089334
Bayreuth;95444;Bayern;49.9429717123,11.5770298924
München;81547;Bayern;48.1005268293,11.5756417534
München;81549;Bayern;48.0978378926,11.6012312671
Lanitz-Hassel-Tal, Molauer Land;06628;Sachsen-Anhalt;51.1306057135,11.690631597
Holzkirchen;83607;Bayern;47.8642263677,11.6793105695
Unterföhring;85774;Bayern;48.1907639184,11.6618596788
München;81739;Bayern;48.0887707339,11.6610563677
Grafenwöhr;92655;Bayern;49.6839775761,11.8007727012
Bad Wiessee;83707;Bayern;47.7005990107,11.6947506488
Mücheln/ Geiseltal;06249;Sachsen-Anhalt;51.302573168,11.7965199077
Beratzhausen;93176;Bayern;49.1186486752,11.8213352903
Poppenricht;92284;Bayern;49.479274826,11.8146813063
Zorneding;85604;Bayern;48.0824743195,11.8196624448
Goldbeck, Arneburg u.a.;39596;Sachsen-Anhalt;52.7077751491,11.9384908522
Immenreuth;95505;Bayern;49.9520694752,11.8068437739
Dickenschied u.a.;55483;Rheinland-Pfalz;49.8713629135,7.44609196267
Weyerbusch;57635;Rheinland-Pfalz;50.7083834948,7.52369613858
Dortmund;44263;Nordrhein-Westfalen;51.4883515107,7.49882402622
Lähden;49774;Niedersachsen;52.7523707222,7.60764489941
Obernheim-Kirchenarnbach u.a.;66919;Rheinland-Pfalz;49.3249925711,7.58856443788
Freudenberg;57258;Nordrhein-Westfalen;50.895055592,7.89767262786
Wangerooge;26486;Niedersachsen;53.7871741908,7.89463170212
Bingen am Rhein;55411;Rheinland-Pfalz;49.9709382762,7.85367078818
Bingen am Rhein;55411;Rheinland-Pfalz;49.9477273555,7.93733075122
Sexau;79350;Baden-Württemberg;48.1158360737,7.91821527987
Dannenfels;67814;Rheinland-Pfalz;49.6253202281,7.93353274563
Aspisheim, Grolsheim;55459;Rheinland-Pfalz;49.9137787369,7.92263507523
Annweiler am Trifels;76855;Rheinland-Pfalz;49.2103645555,7.97053246354
Rheinmünster;77836;Baden-Württemberg;48.7596276476,8.04759871637
Burbach;57299;Nordrhein-Westfalen;50.7404036835,8.09441221945
Marnheim;67297;Rheinland-Pfalz;49.6220072284,8.04307696284
Hahnstätten u.a.;65623;Rheinland-Pfalz;50.2973443083,8.05801294022
Eltville am Rhein;65345;Hessen;50.0676823349,8.09999286831
Wilhelmshaven;26386;Niedersachsen;53.5541844999,8.11360920762
Meinerzhagen;58540;Nordrhein-Westfalen;51.1100380498,7.71838337852
Bornich, Patersberg;56348;Rheinland-Pfalz;50.1891937756,7.65911928198
Sulzburg;79295;Baden-Württemberg;47.8292836646,7.72208108616
Schmalenberg;67718;Rheinland-Pfalz;49.3326496363,7.74073531535
Malberg, Norken, Höchstenbach u.a.;57629;Rheinland-Pfalz;50.70717755,7.7940359568
Ringsheim;77975;Baden-Württemberg;48.249822075,7.76913079093
March;79232;Baden-Württemberg;48.0638381665,7.77724399463
Hamm;59065;Nordrhein-Westfalen;51.688112331,7.80982580601
Wenden;57482;Nordrhein-Westfalen;50.9632769162,7.86356294525
Limburg;65552;Hessen;50.3918852627,8.1008176079
Saulheim;55291;Rheinland-Pfalz;49.875881697,8.14210172578
Eisenbach;79871;Baden-Württemberg;47.9740202662,8.26569138824
Dillenburg;35686;Hessen;50.7205897289,8.22744927997
Baiersbronn;72270;Baden-Württemberg;48.5416878465,8.32529719406
Osthofen;67574;Rheinland-Pfalz;49.7040274255,8.31611654757
Waldems;65529;Hessen;50.2593940736,8.35004902094
Unterkirnach;78089;Baden-Württemberg;48.0777739151,8.35025235532
Bobenheim-Roxheim;67240;Rheinland-Pfalz;49.5849744707,8.37349165372
Linkenheim-Hochstetten;76351;Baden-Württemberg;49.127834755,8.4076427178
Karlsruhe;76133;Baden-Württemberg;49.0121450859,8.38948213015
Bergisch Gladbach;51469;Nordrhein-Westfalen;50.9847100115,7.10902581791
Engden, Isterberg, Schüttorf u.a.;48465;Niedersachsen;52.3436627306,7.21085874824
Wuppertal;42111;Nordrhein-Westfalen;51.2949570795,7.14050582712
Neunkirchen;66540;Saarland;49.3665730577,7.1798013129
Wuppertal;42119;Nordrhein-Westfalen;51.2435333644,7.15711693422
Walchum;26907;Niedersachsen;52.9289299643,7.23161076216
Königswinter;53639;Nordrhein-Westfalen;50.7010128751,7.25836094597
Wuppertal;42287;Nordrhein-Westfalen;51.2481132827,7.22353555706
Ellenz-Poltersdorf;56821;Rheinland-Pfalz;50.1137872974,7.23132560178
Erpel;53579;Rheinland-Pfalz;50.6068360094,7.27304066995
Ennepetal;58256;Nordrhein-Westfalen;51.2828219103,7.36583957541
Herrstein;55756;Rheinland-Pfalz;49.7824487176,7.34316597677
Neustadt b. Coburg;96465;Bayern;50.3117172887,11.111256151
Nürnberg;90455;Bayern;49.3672580858,11.0831236224
Inning a. Ammersee;82266;Bayern;48.0708302558,11.1529921125
Egenhofen;82281;Bayern;48.2607226633,11.1851231183
Schwarzburg;07427;Thüringen;50.6461635562,11.2011665408
Falkenstein;06463;Sachsen-Anhalt;51.7285863407,11.3261810164
Aschersleben;06449;Sachsen-Anhalt;51.771974184,11.4797599809
Neuhausen/Erzgeb.;09544;Sachsen;50.6817697008,13.4922859562
Berlin Friedrichshain;10245;Berlin;52.5006288673,13.4647792464
Berlin Karlshorst;10318;Berlin;52.4834405999,13.529012698
Sellin;18586;Mecklenburg-Vorpommern;54.3439557144,13.6753467315
Radeburg;01471;Sachsen;51.1918811244,13.7312051061
Kröslin, Krummin, Lassan u.a.;17440;Mecklenburg-Vorpommern;54.1196693222,13.7416008045
Lichtenow, Altlandsberg u.a.;15345;Brandenburg;52.6216984116,13.8908028276
Ferdinandshof u.a.;17379;Mecklenburg-Vorpommern;53.6610037934,13.8425495276
Dresden;01109;Sachsen;51.120462809,13.7551956788
Melchow, Chorin u.a.;16230;Brandenburg;52.904484607,13.8897740426
Dresden;01239;Sachsen;50.9995572196,13.7851876369
Dresden;01309;Sachsen;51.0492202614,13.7894318759
Dresden;01257;Sachsen;51.0116667136,13.8107776569
Karlshagen;17449;Mecklenburg-Vorpommern;54.1741568003,13.8118849943
Schipkau;01993;Brandenburg;51.5111399128,13.8864791417
Bad Gottleuba-Berggießhübel;01816;Sachsen;50.8380802522,13.951989766
Kröslin, Krummin, Lassan u.a.;17440;Mecklenburg-Vorpommern;54.0241702501,13.9246158062
Ueckermünde;17373;Mecklenburg-Vorpommern;53.7310384098,14.0490826681
Königstein/Sächs.Schw.;01824;Sachsen;50.8791726295,14.0817150125
Burg/Spreewald u.a.;03096;Brandenburg;51.8383848733,14.1994172819
Welzow;03119;Brandenburg;51.5603993713,14.2101838462
Königswartha;02699;Sachsen;51.2894141526,14.3215642612
Gartz (Oder);16307;Brandenburg;53.2490764315,14.3576921694
Cottbus;03050;Brandenburg;51.7319913991,14.3399784743
Herrnhut;02747;Sachsen;51.0105241827,14.7597859721
Mönchengladbach;41069;Nordrhein-Westfalen;51.1899008777,6.41635206805
Rheurdt;47509;Nordrhein-Westfalen;51.4510749473,6.4740866303
Tawern;54456;Rheinland-Pfalz;49.6460027216,6.48793849585
Stadtkyll;54589;Rheinland-Pfalz;50.3336749506,6.51696819991
Kyllburg;54655;Rheinland-Pfalz;50.0635895611,6.60421286861
Moers;47447;Nordrhein-Westfalen;51.4175175805,6.61581722245
Oberhausen;46117;Nordrhein-Westfalen;51.5003310355,6.89300334502
Oberhausen;46119;Nordrhein-Westfalen;51.5212935426,6.88059580105
Erkrath;40699;Nordrhein-Westfalen;51.2173342036,6.92773101133
Reifferscheid, Kaltenborn, Wershofen u.a.;53520;Rheinland-Pfalz;50.3313737154,6.95021515196
Dorsten;46282;Nordrhein-Westfalen;51.6488931731,6.97307037786
Essen;45359;Nordrhein-Westfalen;51.4651607102,6.92456384413
Leverkusen;51371;Nordrhein-Westfalen;51.0601421531,6.9460720039
Köln;50931;Nordrhein-Westfalen;50.9323199085,6.91817397569
Morbach;54497;Rheinland-Pfalz;49.8155182321,7.0991748756
Köln;51103;Nordrhein-Westfalen;50.9420934079,7.01671631169
Essen;45136;Nordrhein-Westfalen;51.4366554797,7.04118760919
Saarbrücken;66129;Saarland;49.1818391197,7.05069135128
Essen;45309;Nordrhein-Westfalen;51.4787652694,7.06946916007
Udestedt, Mönchenholzhausen u.a.;99198;Thüringen;51.0419067834,11.1467053374
Nürnberg;90471;Bayern;49.4183136506,11.1255856851
Pollenfeld;85131;Bayern;48.9445148796,11.2114418155
Wittenförden u.a.;19073;Mecklenburg-Vorpommern;53.5847856365,11.2738938334
Schwaig b. Nürnberg, Behringersdorfer Forst;90571;Bayern;49.4909205934,11.2009767405
Bad Blankenburg;07422;Thüringen;50.6807619517,11.2507202929
Tutzing;82327;Bayern;47.9095769461,11.2505287289
Trebel;29494;Niedersachsen;53.0057982977,11.2891727048
Mansfeld;06343;Sachsen-Anhalt;51.5975192168,11.3649495656
Olching;82140;Bayern;48.2103092825,11.3473727154
Lübstorf;19069;Mecklenburg-Vorpommern;53.7246343253,11.3965928938
Weißenbrunn;96369;Bayern;50.1907391687,11.3541681838
Lenggries;83661;Bayern;47.5963367632,11.5343945545
Medard, Rathskirchen u.a.;67744;Rheinland-Pfalz;49.6460898393,7.47993715787
Melsbach;56581;Rheinland-Pfalz;50.516260102,7.46356714934
Wildenbungert, Gondershausen, Nörtershausen u.a.;56283;Rheinland-Pfalz;50.2294701328,7.4878495116
Hagen;58097;Nordrhein-Westfalen;51.3719066216,7.47970881473
Nümbrecht;51588;Nordrhein-Westfalen;50.9022013296,7.53554166831
Reifenberg;66507;Rheinland-Pfalz;49.2837836119,7.49787516724
Nordkirchen;59394;Nordrhein-Westfalen;51.730280099,7.55501558917
Höheinöd, Petersberg u.a.;66989;Rheinland-Pfalz;49.2291386865,7.5378183238
Hagen;58095;Nordrhein-Westfalen;51.3649483394,7.49705837717
Winningen;56333;Rheinland-Pfalz;50.3219798791,7.51298799714
Birnbach;57612;Rheinland-Pfalz;50.7156870116,7.66319189817
Horgenzell;88263;Baden-Württemberg;47.8094661418,9.48223054705
Lütjenwestedt, Tackesdorf;25585;Schleswig-Holstein;54.1533255436,9.48755529091
Altshausen;88361;Baden-Württemberg;47.936645706,9.53092611333
Kirchheim (Hessen);36275;Hessen;50.8541874274,9.55426118136
Hollern-Twielenfleth;21723;Niedersachsen;53.5945246255,9.53707242409
Jagel, Lottorf;24878;Schleswig-Holstein;54.4505214561,9.55181081999
Sauensiek;21644;Niedersachsen;53.3870091719,9.56331770245
Althütte;71566;Baden-Württemberg;48.928972357,9.5645581697
Gehrden;30989;Niedersachsen;52.3230761256,9.58771335174
Apensen;21641;Niedersachsen;53.4385547508,9.60218878296
Kalbach;36148;Hessen;50.4047432051,9.68416796987
Neustadt an der Weinstraße;67435;Rheinland-Pfalz;49.3469190435,8.19582411219
Seebach;77889;Baden-Württemberg;48.5819055433,8.19426745385
Wiesbaden;65195;Hessen;50.1061889941,8.1971440918
Selters;65618;Hessen;50.3535764687,8.27751701336
Mainz;55116;Rheinland-Pfalz;50.0006435975,8.2721627105
Rheinstetten;76287;Baden-Württemberg;48.9649681068,8.31570126248
Nierstein;55283;Rheinland-Pfalz;49.8696493103,8.31757013251
Schifferstadt;67105;Rheinland-Pfalz;49.3832668845,8.37105281303
Hofheim am Taunus;65719;Hessen;50.0946655502,8.40896902946
Karlsruhe;76199;Baden-Württemberg;48.9772175493,8.40988926046
Karlsruhe;76137;Baden-Württemberg;48.999472714,8.41438802212
Kirn;55606;Rheinland-Pfalz;49.740049714,7.59361895965
Dortmund;44319;Nordrhein-Westfalen;51.5371651354,7.59897258005
Iserlohn;58642;Nordrhein-Westfalen;51.3703280942,7.61948785094
Altenkirchen (Westerwald);57610;Rheinland-Pfalz;50.6830434434,7.66465213933
Münster;48157;Nordrhein-Westfalen;52.0007263314,7.68320146765
Wyhl;79369;Baden-Württemberg;48.1695361688,7.65002577174
Niederkirchen;67700;Rheinland-Pfalz;49.5724039892,7.69511714287
Hamm (Sieg);57577;Rheinland-Pfalz;50.7556859427,7.67970356685
Schallstadt;79227;Baden-Württemberg;47.9607682828,7.73545227408
Medard, Rathskirchen u.a.;67744;Rheinland-Pfalz;49.6087218291,7.71809045949
Selters (Westerwald);56242;Rheinland-Pfalz;50.5208182646,7.75633899109
Steinen;79585;Baden-Württemberg;47.6749981666,7.74280034121
Riegel Kaiserstuhl;79359;Baden-Württemberg;48.1575524258,7.74611157837
Sohren;55487;Rheinland-Pfalz;49.916162487,7.32329433059
Bad Hönningen;53557;Rheinland-Pfalz;50.5284395781,7.33316995929
Dortmund;44359;Nordrhein-Westfalen;51.5713787042,7.39765664666
Dortmund;44357;Nordrhein-Westfalen;51.5530518983,7.36664590928
Kirn;55606;Rheinland-Pfalz;49.833984709,7.40653971932
Briedel;56867;Rheinland-Pfalz;50.0068624255,7.16247852923
Sinzig;53489;Rheinland-Pfalz;50.527778875,7.22575421989
Senheim;56820;Rheinland-Pfalz;50.084674429,7.20702990374
Berglern;85459;Bayern;48.3918814195,11.9210772726
Pastetten;85669;Bayern;48.2070845014,11.9412177152
Pressath;92690;Bayern;49.7680072801,11.9740626481
Röslau;95195;Bayern;50.081509558,11.9822344464
Hausen;93345;Bayern;48.8453509555,11.988226973
Halle/ Saale;06110;Sachsen-Anhalt;51.4688801244,11.9708603075
Pullenreuth;95704;Bayern;49.9180182723,12.0061200051
Aken (Elbe);06385;Sachsen-Anhalt;51.8483747097,12.0518489628
Schnaittenbach;92253;Bayern;49.5372166838,12.0434556847
Langquaid;84085;Bayern;48.8301619443,12.051565966
Isen;84424;Bayern;48.191107245,12.0585767607
Hohenmölsen;06679;Sachsen-Anhalt;51.1609728763,12.1146415669
Regensburg;93049;Bayern;49.0192640358,12.0600595476
Herrngiersdorf;84097;Bayern;48.7848664938,12.068442144
Gera;07551;Thüringen;50.8348351589,12.1104470658
Ramerberg;83561;Bayern;48.0150097656,12.1468956272
Güstrow;18273;Mecklenburg-Vorpommern;53.7912118065,12.2046024574
Neustadt a.d. Waldnaab;92660;Bayern;49.7331931974,12.1705280266
Rostock, Gelbensande, Rövershagen u.a.;18182;Mecklenburg-Vorpommern;54.1677543753,12.2826611925
Bechtsried;92699;Bayern;49.6372504567,12.2186458894
Eiselfing;83549;Bayern;48.0325096554,12.2466893913
Aufhausen;93089;Bayern;48.8745674983,12.2835640245
Aschau i. Chiemgau;83229;Bayern;47.7431780571,12.3099305209
Bach an der Donau;93090;Bayern;49.0232712969,12.2942586485
Markneukirchen;08258;Sachsen;50.3090588024,12.3485072691
Oranienbaum-Wörlitz;06785;Sachsen-Anhalt;51.831632233,12.4066426834
Coswig (Anhalt);06869;Sachsen-Anhalt;51.9328004852,12.4531049102
Brennberg;93179;Bayern;49.074156848,12.3850047639
Obing;83119;Bayern;48.0141864475,12.4005829907
Gräfenhainichen;06773;Sachsen-Anhalt;51.7241196997,12.4767728729
Walderbach;93194;Bayern;49.1980894327,12.3911645703
Marlow;18337;Mecklenburg-Vorpommern;54.1634142993,12.4938831904
Taufkirchen;84574;Bayern;48.1411828762,12.44573724
Rositz, Starkenberg, Treben;04617;Thüringen;51.0521338746,12.4550340269
Thanstein;92554;Bayern;49.3899172947,12.4600719647
Schönheide;08304;Sachsen;50.5008878801,12.5191419872
Taucha;04425;Sachsen;51.3902197902,12.5080194427
Polling;84570;Bayern;48.2078963678,12.539184767
Garching a.d. Alz;84518;Bayern;48.135186985,12.5869740759
St. Georgen;83368;Bayern;47.9783490105,12.5799213541
Traitsching;93455;Bayern;49.1312214129,12.647424363
Traunreut;83374;Bayern;47.942539366,12.6259218828
Kastl;84556;Bayern;48.1877844942,12.6867932705
Simbach;94436;Bayern;48.5610885241,12.7195969181
Franzburg, Richtenberg, u.a.;18461;Mecklenburg-Vorpommern;54.1761233505,12.8551825061
Otzing;94563;Bayern;48.7574311143,12.8165195871
Niepars;18442;Mecklenburg-Vorpommern;54.2825927151,12.9504029634
Bad Reichenhall;83435;Bayern;47.7301567314,12.8611983747
Chemnitz;09114;Sachsen;50.8709578336,12.9093581222
Waldheim;04736;Sachsen;51.0740822779,13.0357692595
Grimmen;18507;Mecklenburg-Vorpommern;54.1190475583,13.0496516079
Egglham;84385;Bayern;48.5206492152,13.0577592769
Trebbin;14959;Brandenburg;52.2167261058,13.2164110889
Grünhainichen;09579;Sachsen;50.7684726152,13.1622291815
Hiddensee;18565;Mecklenburg-Vorpommern;54.5449280852,13.1205498741
Berlin Westend;14052;Berlin;52.515925185,13.2560699995
Berlin Wedding;13405;Berlin;52.5589012986,13.2978718026
Berlin Reinickendorf;13403;Berlin;52.5739318905,13.3225287589
Berlin Wilmersdorf;10719;Berlin;52.4988605368,13.3257039638
Berlin Moabit;10555;Berlin;52.5215235327,13.335515441
Berlin Lankwitz;12249;Berlin;52.4263692377,13.3516955282
Krien u.a.;17391;Mecklenburg-Vorpommern;53.8404929662,13.4722744073
Berlin Schöneberg;10829;Berlin;52.4763153918,13.3608164302
Berlin;12309;Berlin;52.3904037697,13.4171243096
Lehesten;07349;Thüringen;50.4698726488,11.4568187232
Tschirn;96367;Bayern;50.3981489114,11.4611981113
Jena, Bucha, Großpürschütz u.a.;07751;Thüringen;50.8919531273,11.5880626872
Jena, Bucha, Großpürschütz u.a.;07751;Thüringen;50.8919531273,11.5880626872
Presseck;95355;Bayern;50.2325920449,11.5432433788
Hummeltal;95503;Bayern;49.8846870984,11.4993273673
Banzkow, Sukow;19079;Mecklenburg-Vorpommern;53.5118696575,11.5308843533
München;81475;Bayern;48.0895394084,11.4809419407
Bismark;39629;Sachsen-Anhalt;52.6675459156,11.5358323495
Schnackenburg;29493;Niedersachsen;53.0277573043,11.5390293764
Tangerhütte u.a.;39517;Sachsen-Anhalt;52.4376196517,11.7765418275
Oberschleißheim;85764;Bayern;48.2498030295,11.5572000825
München;80993;Bayern;48.1864997066,11.5192302014
Creußen;95473;Bayern;49.8468725175,11.6236496512
München;81545;Bayern;48.0872006413,11.5572523687
Auerbach i.d. OPf.;91275;Bayern;49.6936883875,11.609826338
München;80933;Bayern;48.2161091113,11.5562933319
Neukloster;23992;Mecklenburg-Vorpommern;53.8910043501,11.6947430334
Sauerlach;82054;Bayern;47.9594658507,11.6356059909
Freyburg, Balgstädt;06632;Sachsen-Anhalt;51.2261707164,11.7540034241
Emtmannsberg;95517;Bayern;49.8896494073,11.6830293314
Ziegenrück;07924;Thüringen;50.6096035496,11.7098048265
Magdeburg;39114;Sachsen-Anhalt;52.086439366,11.7451110499
Pliening;85652;Bayern;48.1982367264,11.7953605363
Bützow u.a.;18246;Mecklenburg-Vorpommern;53.8766141879,11.9246010181
Eisenberg, Gösen, Hainspitz;07607;Thüringen;50.9635827114,11.883144564
Nittendorf;93152;Bayern;49.0181325486,11.9422275987
Neukirch;88099;Baden-Württemberg;47.6599164493,9.70239365354
Langenhagen;30851;Niedersachsen;52.4320279313,9.73579896193
Warthausen;88447;Baden-Württemberg;48.1357151827,9.78380493268
Mulfingen;74673;Baden-Württemberg;49.3459165951,9.80156992589
Alfeld (Leine);31061;Niedersachsen;51.9856113792,9.82532444649
Ebersburg;36157;Hessen;50.459793194,9.7933203624
Schenefeld;22869;Schleswig-Holstein;53.60159371,9.82630198111
Bütthard;97244;Bayern;49.5901938627,9.88221018067
Zell a. Main;97299;Bayern;49.807134876,9.85929469941
Retzstadt;97282;Bayern;49.9091693021,9.88731443687
Ochsenhausen;88416;Baden-Württemberg;48.0555606294,9.94756029808
Abtsgmünd;73453;Baden-Württemberg;48.9122559105,9.96180614269
Heubach;73540;Baden-Württemberg;48.7869977957,9.94480459666
Hamburg;20457;Hamburg;53.5326157091,9.97848808932
Rot am See;74585;Baden-Württemberg;49.2656918705,10.0604610337
Hamburg;21107;Hamburg;53.501339003,9.97420703807
Laupheim;88471;Baden-Württemberg;48.2573639294,9.96664219537
Hamburg;20251;Hamburg;53.5914033037,9.9797270952
Ochsenfurt;97199;Bayern;49.6613830477,10.0545317011
Eggestorf;21272;Niedersachsen;53.1796156295,10.0486815577
Hamburg;20537;Hamburg;53.549449289,10.0487924378
Flintbek;24220;Schleswig-Holstein;54.2355347246,10.0831411445
Hamburg;22393;Hamburg;53.6471994012,10.1181952518
Buxheim;87740;Bayern;47.9878661385,10.1310793322
Kiel;24105;Schleswig-Holstein;54.3381177757,10.1431890032
Vierhöfen;21444;Niedersachsen;53.2680770668,10.2310789031
Windelsbach;91635;Bayern;49.4008897393,10.2939183197
Niederstotzingen;89168;Baden-Württemberg;48.5031633775,10.2387697329
Probsteierhagen;24253;Schleswig-Holstein;54.3629323536,10.2927946654
Ahnsbeck;29353;Niedersachsen;52.6081870663,10.2940209591
Eimke;29578;Niedersachsen;52.9292889326,10.3139354402
Waldstetten;89367;Bayern;48.349208952,10.2899755254
Betzendorf;21386;Niedersachsen;53.1319816319,10.3034325256
Fargau-Pratjau;24256;Schleswig-Holstein;54.3270294636,10.3684597993
Bardowick, Wittorf, Barum;21357;Niedersachsen;53.3210811096,10.3814021114
Wilburgstetten;91634;Bayern;49.0184477363,10.3979412285
Hohenhorn;21526;Schleswig-Holstein;53.4719989517,10.3731098275
Reinfeld (Holstein);23858;Schleswig-Holstein;53.834748129,10.4809157914
Sprakensehl;29365;Niedersachsen;52.7854033801,10.4942741293
Goslar;38640;Niedersachsen;51.9097075622,10.433161563
Bosau;23715;Schleswig-Holstein;54.0940773867,10.5092712279
Flachslanden;91604;Bayern;49.4047128458,10.5198940397
Braunschweig;38118;Niedersachsen;52.2606775066,10.5005056495
Spenge;32139;Nordrhein-Westfalen;52.1367316323,8.47051209883
Nordenham;26954;Niedersachsen;53.4550873406,8.48387187303
Ketsch;68775;Baden-Württemberg;49.3690455128,8.52614865699
Oberndorf am Neckar;78727;Baden-Württemberg;48.2951684742,8.57095705284
Epfendorf;78736;Baden-Württemberg;48.2583741216,8.61867140723
Münchhausen;35117;Hessen;50.9572565239,8.67792966439
Vöhringen;72189;Baden-Württemberg;48.3235993994,8.66315880158
Paderborn;33106;Nordrhein-Westfalen;51.7200310366,8.6867421448
Wildberg;72218;Baden-Württemberg;48.6348453381,8.74540089054
Gießen;35392;Hessen;50.5623620802,8.67946258062
Wellendingen;78669;Baden-Württemberg;48.153797221,8.71168378204
Neuenkirchen, Scholen;27251;Niedersachsen;52.7540762489,8.75595637131
Pohlheim;35415;Hessen;50.5158320484,8.73372504887
Frankfurt am Main;60599;Hessen;50.0850060374,8.71535641203
Korbach;34497;Hessen;51.2662302621,8.8425522983
Simmozheim;75397;Baden-Württemberg;48.7527822822,8.76851639473
Dotternhausen;72359;Baden-Württemberg;48.2235768436,8.79733367913
Ötisheim;75443;Baden-Württemberg;48.9632778188,8.80002813507
Herrenberg;71083;Baden-Württemberg;48.597470689,8.86985970962
Kirchhain;35274;Hessen;50.8398699972,8.90935397918
Groß-Umstadt;64823;Hessen;49.8688369938,8.94419788748
Bisingen;72406;Baden-Württemberg;48.3097427285,8.93124223007
Hanau;63452;Hessen;50.1447153603,8.93203306796
Hechingen;72379;Baden-Württemberg;48.352397613,8.97651056239
Ranstadt;63691;Hessen;50.3639504068,8.98509384476
Hammersbach;63546;Hessen;50.2287225082,8.98240465797
Neufeld, Schmedeswurth;25724;Schleswig-Holstein;53.9178478774,9.01415804453
Erlensee;63526;Hessen;50.1637004901,8.98278488994
Schaafheim;64850;Hessen;49.9103444454,9.00485905114
Rodenbach;63517;Hessen;50.1369258939,9.04117365858
Dußlingen;72144;Baden-Württemberg;48.4541692818,9.04786191798
Brunsbüttel;25541;Schleswig-Holstein;53.9053414193,9.12490303891
Siegelsbach;74936;Baden-Württemberg;49.2696910781,9.08795229276
Dettenhausen;72135;Baden-Württemberg;48.5981150693,9.10411363584
Niederwöhren;31712;Niedersachsen;52.3610299109,9.14560422445
Neckarzimmern;74865;Baden-Württemberg;49.3250731831,9.15231834812
Oederquart;21734;Niedersachsen;53.7867723021,9.23110245231
Ludwigsburg;71636;Baden-Württemberg;48.8883879039,9.16679860833
Talheim;74388;Baden-Württemberg;49.0851004329,9.20129976773
Sankt Margarethen;25572;Schleswig-Holstein;53.9252324623,9.25926545019
Stuttgart;70327;Baden-Württemberg;48.7793200091,9.25175371941
Untergruppenbach;74199;Baden-Württemberg;49.0941922984,9.30707256181
Bothel, Kirchwalsede u.a.;27386;Niedersachsen;53.0597652389,9.48254844592
Rotenburg;27356;Niedersachsen;53.1627879377,9.32771669819
Hohentengen;88367;Baden-Württemberg;48.0234288977,9.38206156147
Kassel;34131;Hessen;51.3114192385,9.40134102643
Ahnatal;34292;Hessen;51.3648264467,9.39872984541
Grebenau;36323;Hessen;50.7302015776,9.43612161538
Oberboihingen;72644;Baden-Württemberg;48.6451593189,9.37716616592
Zwiefalten;88529;Baden-Württemberg;48.2274695682,9.44350021862
Köngen;73257;Baden-Württemberg;48.6894621941,9.39139538477
Glückstadt;25348;Schleswig-Holstein;53.7900423911,9.43974329355
Grabenstetten;72582;Baden-Württemberg;48.5255525419,9.45459489119
Stade;21682;Niedersachsen;53.6051175169,9.45900744944
Reimlingen;86756;Bayern;48.8285418379,10.5222806633
Reinstorf;21400;Niedersachsen;53.2400945125,10.5720601372
Boizenburg, Gresse, Greven u.a.;19258;Mecklenburg-Vorpommern;53.4196956903,10.7704111625
Calberlah;38547;Niedersachsen;52.4208231767,10.6382196486
Welden;86465;Bayern;48.4538341641,10.6535035038
Suhl;98529;Thüringen;50.6035456008,10.6508991184
Schwenningen;89443;Bayern;48.6449983162,10.6572726415
Großvargula, Tonna;99958;Thüringen;51.0920412933,10.7516361516
Schönewörde;29396;Niedersachsen;52.6196289711,10.7098674424
Wilhelmsdorf;91489;Bayern;49.5757715341,10.7376970373
Jembke;38477;Niedersachsen;52.5040641814,10.7543986319
Roßtal;90574;Bayern;49.3857843993,10.885061493
Beetzendorf, Rohrberg, Jübar;38489;Sachsen-Anhalt;52.6870463762,11.0133112669
Süpplingen, Frellstedt;38373;Niedersachsen;52.2239302483,10.9053005952
Warberg;38378;Niedersachsen;52.1814247796,10.9255106984
Velpke;38458;Niedersachsen;52.4081122209,10.9505468212
Gundelsheim;96163;Bayern;49.9368201294,10.921285031
Hirschaid;96114;Bayern;49.8113988825,10.9781218419
Zapfendorf;96199;Bayern;50.0137978444,10.9523456083
Hofstetten;86928;Bayern;48.00242271,10.967548394
