plz_name;Spalte1;lan_name;geo_point_2d
Benningen am Neckar;71726;Baden-Württemberg;48.9413610088,9.23689441956
Freiburg (Elbe);21729;Niedersachsen;53.8273972172,9.28101365637
Amorbach;63916;Bayern;49.6546014483,9.27780744664
Grebenhain;36355;Hessen;50.4953583936,9.33897910101
Scheer;72516;Baden-Württemberg;48.0836689511,9.31697566364
Möckmühl;74219;Baden-Württemberg;49.324836222,9.35522960958
Waiblingen;71336;Baden-Württemberg;48.8757407413,9.32454859525
Dörpstedt;24869;Schleswig-Holstein;54.4323738465,9.35544248329
Ellhofen;74248;Baden-Württemberg;49.144629766,9.32084259582
Wiesen, Wiesener Forst;63831;Bayern;50.1087417008,9.3548452124
Illmensee;88636;Baden-Württemberg;47.8602265498,9.36915950519
Hameln;31785;Niedersachsen;52.1047856149,9.36311486056
Hardthausen am Kocher;74239;Baden-Württemberg;49.2654432968,9.3914319749
Hayingen;72534;Baden-Württemberg;48.295135936,9.47139876372
Meggerdorf, Friedrichsholm, Friedrichsgraben u.a.;24799;Schleswig-Holstein;54.2777062189,9.41802487473
Menteroda, Obermehler;99996;Thüringen;51.2889584723,10.5903912983
Bad Sachsa;37441;Niedersachsen;51.5861592075,10.541831119
Meine;38527;Niedersachsen;52.3769638639,10.5702861972
Benshausen;98554;Thüringen;50.6417362867,10.5999548458
Sachsen b. Ansbach;91623;Bayern;49.2860784141,10.6542924608
Wittmar;38329;Niedersachsen;52.1297436678,10.6441850049
Mauerstetten;87665;Bayern;47.8741263508,10.6715037138
Oberharz am Brocken;38877;Sachsen-Anhalt;51.6613337917,10.7242148433
Wolframs-Eschenbach;91639;Bayern;49.2219869113,10.7338953082
Lamerdingen;86862;Bayern;48.0801767574,10.7504384421
Roklum;38325;Niedersachsen;52.0727558172,10.7384935953
Gräfenroda;99330;Thüringen;50.7485468916,10.7868426757
Pommersfelden;96178;Bayern;49.7732563935,10.8163495598
Bergfeld;38467;Niedersachsen;52.5390980668,10.8517628441
Ammerndorf;90614;Bayern;49.4230917887,10.8531496306
Abenberg;91183;Bayern;49.23453955,10.9353048554
Arnstadt;99310;Thüringen;50.8164040457,11.0123081866
Schwabach;91126;Bayern;49.3142125541,11.001117813
Bergen;29468;Niedersachsen;52.888845914,10.9465485944
Grainau;82491;Bayern;47.4546249185,11.0068217727
Lichtenfels;96215;Bayern;50.1382076083,11.0843518667
Kelbra (Kyffhäuser);06537;Sachsen-Anhalt;51.4313040426,11.088325078
Flensburg, Tastrup;24943;Schleswig-Holstein;54.780304594,9.47405021613
Neuhof;36119;Hessen;50.469896676,9.58165861194
Krempe, Grevenkop, Süderau, Muchelndorf;25361;Schleswig-Holstein;53.8271265872,9.52199320742
Ebersbach an der Fils;73061;Baden-Württemberg;48.7124190189,9.5199594071
Kassel;34123;Hessen;51.2951681543,9.52485320549
Aura i. Sinngrund;97773;Bayern;50.1949432641,9.54314317204
Münsterdorf;25587;Schleswig-Holstein;53.9007164206,9.53629356245
Rothenfels;97851;Bayern;49.9073330351,9.55980801549
Lägerdorf;25566;Schleswig-Holstein;53.8736054394,9.59089045367
Burgsinn;97775;Bayern;50.1480104281,9.64595627282
Roden;97849;Bayern;49.9118734295,9.62199677396
Rieneck;97794;Bayern;50.1012830791,9.63572087481
Bad Schussenried;88427;Baden-Württemberg;48.0097590511,9.65440805033
Buxtehude;21614;Niedersachsen;53.4628792773,9.69195957361
Uslar;37170;Niedersachsen;51.5693002118,9.64572060822
Schneverdingen, Heimbuch;29640;Niedersachsen;53.1262364034,9.80371716774
Mühlhausen im Täle;73347;Baden-Württemberg;48.5747512987,9.65372227134
Alfdorf, Schillinghof;73553;Baden-Württemberg;48.859879063,9.7044274211
Gammelshausen;73108;Baden-Württemberg;48.6395867706,9.65162672233
Schwörstadt;79739;Baden-Württemberg;47.6070215072,7.86290070955
Guldental;55452;Rheinland-Pfalz;49.9267702908,7.87228591865
Freiburg im Breisgau;79117;Baden-Württemberg;47.9673328335,7.90143485476
Hackenheim;55546;Rheinland-Pfalz;49.8056950555,7.91007192893
Nistertal, Enspel;57647;Rheinland-Pfalz;50.6267832408,7.89514196875
Bad Dürkheim;67098;Rheinland-Pfalz;49.454956303,8.08657652431
Buchenbach;79256;Baden-Württemberg;47.9681870952,8.02723983007
Ockenheim;55437;Rheinland-Pfalz;49.9127475054,8.02832775018
Maikammer;67487;Rheinland-Pfalz;49.307014463,8.07531425681
Gommersheim;67377;Rheinland-Pfalz;49.2977157799,8.03334548427
Hünfelden;65597;Hessen;50.318386606,8.15190513563
Versmold;33775;Nordrhein-Westfalen;52.0396100929,8.17152867813
Lautenbach;77794;Baden-Württemberg;48.5203080353,8.13096837367
Wiesbaden;65201;Hessen;50.0606260899,8.16932545309
Breitscheid;35767;Hessen;50.6855071892,8.1889664584
Kindenheim;67271;Rheinland-Pfalz;49.5718230481,8.13575623156
Steinfeld;49439;Niedersachsen;52.5948513046,8.2228837497
Grafenhausen;79865;Baden-Württemberg;47.7738042663,8.24995579227
Erpolzheim;67167;Rheinland-Pfalz;49.4905518025,8.22187539876
Niederkirchen bei Deidesheim;67150;Rheinland-Pfalz;49.4168882645,8.22156732316
